left_elbow_angle,right_elbow_angle,label,source
158.79674,152.47198,pullup_down,108
155.51808,152.79988,pullup_down,108
155.71689,150.22212,pullup_down,108
159.05841,158.63414,pullup_down,108
157.90582,157.37944,pullup_down,108
155.38464,155.9649,pullup_down,108
149.60638,151.91118,pullup_down,108
151.81158,153.17693,pullup_down,108
152.16624,149.84024,pullup_down,108
155.60193,153.92603,pullup_down,108
148.09917,152.61513,pullup_down,108
156.69655,143.83037,pullup_down,108
156.23859,147.33575,pullup_down,109
94.753494,93.65479,pullup_up,109
93.96142,95.42659,pullup_up,109
93.77464,92.911865,pullup_up,109
88.68559,94.67766,pullup_up,109
83.434235,91.2626,pullup_up,109
70.8812,83.015076,pullup_up,109
79.358665,78.38516,pullup_up,109
73.48233,71.11466,pullup_up,109
71.06082,67.49215,pullup_up,109
65.23792,59.178997,pullup_up,109
67.21235,79.414154,pullup_up,109
61.56231,41.61538,pullup_up,109
38.887283,87.11849,pullup_up,109
102.33508,73.759155,pullup_up,109
65.67661,95.40666,pullup_up,109
50.340157,91.03055,pullup_up,109
55.48296,94.92805,pullup_up,109
53.138306,88.87173,pullup_up,109
110.95311,72.699776,pullup_up,109
41.31466,79.50871,pullup_up,109
37.97295,105.17151,pullup_up,109
44.367695,74.47477,pullup_up,109
74.01223,85.35885,pullup_up,109
83.561005,82.40672,pullup_up,109
85.28504,75.988716,pullup_up,109
84.85366,80.618484,pullup_up,109
83.758995,92.21514,pullup_up,109
85.813255,102.39991,pullup_up,109
92.2971,97.49316,pullup_up,109
95.13088,94.23016,pullup_up,109
150.1131,150.68268,pullup_down,109
81.16287,108.3862,pullup_up,109
86.996475,91.96684,pullup_up,109
85.56373,93.96752,pullup_up,109
87.754585,94.81929,pullup_up,109
77.31751,84.66369,pullup_up,109
80.066055,91.67339,pullup_up,109
84.82561,88.05727,pullup_up,109
82.23864,95.996765,pullup_up,109
78.527664,86.89716,pullup_up,109
89.044556,78.2944,pullup_up,109
69.29635,69.32345,pullup_up,109
77.49446,69.5526,pullup_up,109
83.69027,71.535965,pullup_up,109
72.06056,92.104904,pullup_up,109
78.288605,81.489,pullup_up,109
68.73322,91.4969,pullup_up,109
48.47035,104.0464,pullup_up,109
38.28249,92.84923,pullup_up,109
70.37116,85.94521,pullup_up,109
72.141045,70.30779,pullup_up,109
73.727646,86.88608,pullup_up,109
80.98537,73.73251,pullup_up,109
82.78782,79.72162,pullup_up,109
87.13746,88.00489,pullup_up,109
52.999195,129.45288,pullup_up,109
149.97493,166.55597,pullup_down,109
73.32938,110.52905,pullup_up,109
86.39677,102.205124,pullup_up,109
91.32756,96.97833,pullup_up,109
84.703,86.57712,pullup_up,109
84.10708,96.328285,pullup_up,109
69.47368,78.503784,pullup_up,109
70.407646,77.232895,pullup_up,109
70.307724,70.29903,pullup_up,109
75.152756,59.100994,pullup_up,109
57.623222,51.421757,pullup_up,109
57.4413,63.662907,pullup_up,109
50.82171,59.54071,pullup_up,109
41.770798,60.62451,pullup_up,109
34.5278,90.856636,pullup_up,109
37.49954,122.85913,pullup_up,109
41.600418,112.40533,pullup_up,109
49.907017,67.22028,pullup_up,109
54.80146,56.671837,pullup_up,109
68.05467,60.595657,pullup_up,109
91.31863,88.02317,pullup_up,109
155.50688,163.86996,pullup_down,110
68.63299,87.621376,pullup_up,110
139.74872,163.98485,pullup_down,110
173.46732,157.08044,pullup_down,110
176.68376,165.16971,pullup_down,110
155.41905,166.37283,pullup_down,110
163.21707,149.7469,pullup_down,110
166.39233,172.78107,pullup_down,110
141.01639,165.19333,pullup_down,110
153.36621,149.84961,pullup_down,110
171.49477,140.36531,pullup_down,110
160.83325,173.82425,pullup_down,110
158.13327,169.03548,pullup_down,110
166.27791,137.4975,pullup_down,110
177.54019,163.57512,pullup_down,110
161.71667,153.46368,pullup_down,110
148.31815,165.81242,pullup_down,110
162.94232,151.89738,pullup_down,110
151.56668,150.11443,pullup_down,110
148.72224,152.54614,pullup_down,110
150.99709,161.05861,pullup_down,110
147.83554,158.42056,pullup_down,110
154.21286,151.9183,pullup_down,110
175.76067,171.23471,pullup_down,110
166.67432,158.87491,pullup_down,110
161.93098,163.31747,pullup_down,110
154.48619,149.6116,pullup_down,110
164.42258,146.62247,pullup_down,110
152.78531,151.66266,pullup_down,110
149.06285,162.27155,pullup_down,110
79.85406,79.05322,pullup_up,110
65.68573,65.18557,pullup_up,110
147.11888,168.10495,pullup_down,110
161.77449,150.37279,pullup_down,110
147.04747,159.0816,pullup_down,110
154.07182,166.15099,pullup_down,110
142.77975,167.79704,pullup_down,110
