left_elbow_angle,right_elbow_angle,torso_angle,label,source
160.43877486959258,156.19436855572903,11.43319451470114,latpulldown_down,lat_pulldown
160.6542026919677,156.35566022315575,11.376957614081253,latpulldown_down,lat_pulldown
161.24125105912853,156.73199542299858,11.257524629396276,latpulldown_down,lat_pulldown
162.34048442930398,158.30776425764117,11.19421133514415,latpulldown_down,lat_pulldown
163.49471673116682,159.24419726695345,11.157005325334923,latpulldown_down,lat_pulldown
164.14623418146016,161.45248825404852,11.086627931779883,latpulldown_down,lat_pulldown
165.4743827504194,161.57579774003082,10.89259860672243,latpulldown_down,lat_pulldown
170.26389960614924,162.82384133770444,10.73826609955535,latpulldown_down,lat_pulldown
172.30554764994943,163.138236570453,10.639777203013878,latpulldown_down,lat_pulldown
172.4363627199043,163.0332032248564,10.597475329466056,latpulldown_down,lat_pulldown
170.34195478089478,163.12042143024323,10.483301268890065,latpulldown_down,lat_pulldown
168.66551209600627,163.14857810373653,10.024386692181643,latpulldown_down,lat_pulldown
163.7749990858954,162.6268893563145,9.153899664264337,latpulldown_down,lat_pulldown
164.89205285787855,163.66629108382875,8.9131981365177,latpulldown_down,lat_pulldown
164.7825000172445,163.78137601998415,8.58595877235255,latpulldown_down,lat_pulldown
163.87656464597447,162.52342147453606,8.331967490237666,latpulldown_down,lat_pulldown
163.17951327620216,163.11912508690534,8.32902105206414,latpulldown_down,lat_pulldown
162.77971572935448,164.92857922265756,8.354206432079955,latpulldown_down,lat_pulldown
162.2931160472038,163.998178426981,8.471270540886037,latpulldown_down,lat_pulldown
159.95319919077903,159.7767060067298,8.672110963817989,latpulldown_down,lat_pulldown
156.21975771984847,157.2656550706887,8.952653239222073,latpulldown_down,lat_pulldown
154.16736688329357,158.14996820007528,9.341262477281187,latpulldown_down,lat_pulldown
153.6768156525847,157.9355483930654,9.497350031158316,latpulldown_down,lat_pulldown
152.41251798218698,152.42758404748,9.64539605970964,latpulldown_down,lat_pulldown
153.40226272724797,152.1322049522145,9.913563137882443,latpulldown_down,lat_pulldown
153.63215717120886,148.41090732687587,10.189661825672603,latpulldown_down,lat_pulldown
153.51107015953812,143.2411953865137,10.015670469528658,latpulldown_down,lat_pulldown
152.1366485913203,143.32877791033246,10.403691823549607,latpulldown_down,lat_pulldown
150.47657734055224,144.17187214067053,10.625887485368946,latpulldown_down,lat_pulldown
96.42026761874509,71.6420717119322,13.063307312492046,latpulldown_up,lat_pulldown
96.49323728622892,71.68869961364487,13.21941262470148,latpulldown_up,lat_pulldown
140.17951497448786,156.05514655867754,12.375679378564136,latpulldown_down,lat_pulldown
141.76076254808947,152.94995959488168,12.188488371125466,latpulldown_down,lat_pulldown
144.531070559165,155.91994536310975,12.126218991364595,latpulldown_down,lat_pulldown
146.4157481094981,158.287603338063,11.99061865893382,latpulldown_down,lat_pulldown
149.01990357609077,160.07103900027826,11.909205924341514,latpulldown_down,lat_pulldown
151.1864938152479,159.0883214104518,11.747774839289084,latpulldown_down,lat_pulldown
152.9499939881788,159.47423680301418,11.514339040262064,latpulldown_down,lat_pulldown
153.9305492339101,160.75456672586623,11.495430321381251,latpulldown_down,lat_pulldown
155.5474837506633,162.56849191242904,11.39428716268764,latpulldown_down,lat_pulldown
156.0881117470213,163.4360317719057,11.363353905088806,latpulldown_down,lat_pulldown
156.88633905917018,163.70717348499707,11.022072039922552,latpulldown_down,lat_pulldown
157.31450921538607,163.72560006184935,10.496040706402503,latpulldown_down,lat_pulldown
158.82844205953023,162.65720474425592,10.461741564169255,latpulldown_down,lat_pulldown
160.60652903577414,161.33795885802837,10.41673112302194,latpulldown_down,lat_pulldown
162.28839731015952,162.24650443920223,10.258809348629608,latpulldown_down,lat_pulldown
164.90440186975607,162.50244273779725,10.172036818392264,latpulldown_down,lat_pulldown
166.98997477535312,160.49123610844478,9.897747042302184,latpulldown_down,lat_pulldown
168.80257988746573,159.594721161877,9.826120183629524,latpulldown_down,lat_pulldown
169.3907277634648,158.86091299872172,9.781153866073634,latpulldown_down,lat_pulldown
170.05919508190405,156.6155352490035,9.719990062118988,latpulldown_down,lat_pulldown
169.4962190481736,155.36529713006874,9.364778400817872,latpulldown_down,lat_pulldown
169.58192907453122,155.10571463123355,9.25065978376053,latpulldown_down,lat_pulldown
168.9334216431876,154.55384203211403,8.841788744108312,latpulldown_down,lat_pulldown
164.1460292043707,153.54377234101534,8.696282255749196,latpulldown_down,lat_pulldown
163.67033923258376,153.87079299853852,8.573517129638075,latpulldown_down,lat_pulldown
162.76816675828044,153.78677990677693,8.532338043124401,latpulldown_down,lat_pulldown
