left_torso_angle,right_torso_angle,label,source
32.33134802048959,36.17219349740089,situp_up,307
43.09695341972454,42.81622497359833,situp_up,307
44.62478774134423,46.41947364799811,situp_up,307
52.63634539156826,56.97226503762778,situp_up,307
60.06102709798045,64.06633744812002,situp_up,307
64.14545504189111,68.42675973313611,situp_up,307
152.41655211931194,150.73644075436428,situp_down,307
160.6183626422854,159.8458743181842,situp_down,307
166.9361290430903,162.45980805064923,situp_down,307
167.85974403777016,163.37107060417077,situp_down,307
163.9079908201318,164.74156313040598,situp_down,307
171.20412807448662,167.57474005418595,situp_down,307
177.80420881148314,173.2592813026519,situp_down,307
175.68968750782645,176.9799554937674,situp_down,307
178.47067961566154,175.84392095222188,situp_down,307
178.0479904524732,174.24483135339614,situp_down,307
175.14819612767425,177.5432609098267,situp_down,307
179.82276819996008,172.3810703547219,situp_down,307
179.80054260069264,171.83515030570211,situp_down,307
179.12244374558855,171.83520251528566,situp_down,307
178.48587339696493,175.0321496966514,situp_down,307
175.6046913528902,173.7372150416411,situp_down,307
72.33780377651529,67.30121389663482,situp_up,308
69.54728578425961,67.74255029489497,situp_up,308
65.66641784925659,62.7934686473179,situp_up,308
58.566939671070685,56.775006136081856,situp_up,308
56.07558840716169,53.710275639774615,situp_up,308
53.93301347558073,51.58293967004448,situp_up,308
52.24836508089591,49.55709534612202,situp_up,308
48.80325932751304,44.14437364515688,situp_up,308
46.01391457816818,37.73230641092682,situp_up,308
43.85948370334996,34.63343382284247,situp_up,308
41.54866962961853,33.699273852934645,situp_up,308
39.4265692993289,32.91203146000311,situp_up,308
37.56003561605876,29.437582664778784,situp_up,308
31.621887918348243,26.73638610544282,situp_up,308
29.02666827931642,26.87910916350151,situp_up,308
31.8791343319522,24.56725901561897,situp_up,308
32.1265353041416,25.65867854096698,situp_up,308
31.049061677724136,25.91852830976193,situp_up,308
32.44284146120701,27.29634927274985,situp_up,308
33.00407358754258,25.76183984786426,situp_up,308
33.5236703069194,26.598656383485395,situp_up,308
36.72628330277843,28.69472691611765,situp_up,308
39.26709637344827,33.55188194575967,situp_up,308
44.25338664276256,38.84657838540792,situp_up,308
47.925314983844,41.14177191068969,situp_up,308
49.41552576078156,43.31777292607323,situp_up,308
53.11262204545831,50.25829681305468,situp_up,308
55.166473821104944,52.43659420562103,situp_up,308
63.77850873351593,61.58601815925565,situp_up,308
64.78895872941163,65.40827008861847,situp_up,308
67.57374938793629,66.97943465317245,situp_up,308
69.36707091815256,69.56196424198895,situp_up,308
68.64939741741728,65.43282518609291,situp_up,308
64.68806528055009,64.04411680307372,situp_up,308
62.134973125148,61.24379706731489,situp_up,308
58.1738010305928,54.73203903913145,situp_up,308
52.07583584382544,45.756283802878045,situp_up,308
48.705630420356414,41.38398741967862,situp_up,308
46.66711289309088,38.39252576078601,situp_up,308
43.67588278443116,36.42957788132423,situp_up,308
39.59346222338412,33.57442690056824,situp_up,308
27.146180609294717,27.78338017589929,situp_up,308
26.81859146957624,29.03584504963656,situp_up,308
29.885882449094577,28.07325809800433,situp_up,308
28.64107922112718,25.11275222923567,situp_up,308
28.325933509162287,26.472122480809823,situp_up,308
26.997835381658373,26.49419961346968,situp_up,308
26.35704944244241,26.85284890290333,situp_up,308
27.345762318711884,27.360884807424316,situp_up,308
29.377728202796455,27.20200197337708,situp_up,308
30.271206192671524,27.16732691285881,situp_up,308
36.08822428246074,31.697536290274485,situp_up,308
40.20352941539395,35.96870837129044,situp_up,308
43.7923360607268,39.11196028004332,situp_up,308
45.74214591999953,43.94200970192885,situp_up,308
49.838218602631,44.70606983507012,situp_up,308
55.04421767567772,55.14573884687623,situp_up,308
59.10322321664306,58.81681243090008,situp_up,308
62.486214624377325,62.09008476662109,situp_up,308
64.48858098802131,66.6711128153358,situp_up,308
67.24943223908609,70.24413946085193,situp_up,308
68.6661894842328,65.14118276520828,situp_up,308
66.66425908192481,63.47603270081736,situp_up,308
64.46809242937351,60.64605978045045,situp_up,308
58.05692282163309,53.29305804479427,situp_up,308
52.83199547849418,47.29146896212136,situp_up,308
50.035342145485295,45.44056809139225,situp_up,308
48.12788058333286,42.967917806747984,situp_up,308
45.4075623349357,38.5593994373106,situp_up,308
40.22580126087827,33.81901409799881,situp_up,308
36.4069698147819,32.575819888749955,situp_up,308
34.04262138746899,29.16202803285655,situp_up,308
32.45649509120711,30.682787028118447,situp_up,308
31.3286159392692,29.98193125772351,situp_up,308
30.309951129067933,29.735830036104225,situp_up,308
31.43077834477368,31.8007645505242,situp_up,308
33.09824549430112,33.21926776319769,situp_up,308
35.53770932367967,33.69402722042204,situp_up,308
36.86353363882214,34.41581713855526,situp_up,308
42.97113619180082,39.66965728158011,situp_up,308
45.06026041415626,42.249234152776246,situp_up,308
48.96645814849058,43.64142772924306,situp_up,308
50.80312180563941,45.5994260600205,situp_up,308
53.64725924323458,52.27819357488819,situp_up,308
60.85948350353904,56.87951223086298,situp_up,308
63.07952886696621,63.08172527517242,situp_up,308
66.25916493140747,66.82611986251324,situp_up,308
66.57125405009886,65.48254874318287,situp_up,308
63.972490157706325,61.84719247166756,situp_up,308
60.90092099939124,58.08428663592915,situp_up,308
56.47449500336143,56.08444667058989,situp_up,308
52.25183073199423,46.74774133664855,situp_up,308
49.02373929134061,43.66649096399542,situp_up,308
47.11810979215591,40.66692118470405,situp_up,308
44.13242131474264,37.394643052307245,situp_up,308
41.4382166846852,33.33037676294342,situp_up,308
35.54847838322487,30.13465639466861,situp_up,308
31.328482444115785,30.86479628610822,situp_up,308
30.976833976442325,31.869437186997544,situp_up,308
29.706891503601184,31.555292379005525,situp_up,308
28.923343524649844,30.91217434843051,situp_up,308
28.61767364555985,30.578499292718256,situp_up,308
28.966234623156478,31.258398488863,situp_up,308
28.42054970419781,30.539823317410345,situp_up,308
