left_arm_angle,right_arm_angle,leg_spread_angle,label,source
33.33418,28.357973,19.57956,jack_in,0
32.007732,31.386429,22.502573,jack_in,0
22.749397,23.696093,19.17967,jack_in,0
10.96582,16.727169,17.748913,jack_in,0
18.333332,21.4374,16.452868,jack_in,0
10.507566,16.702328,16.647509,jack_in,0
14.775631,19.165943,16.605925,jack_in,0
17.257149,20.546354,16.1125,jack_in,0
27.574446,23.161678,17.614346,jack_in,0
30.183308,28.868818,20.986773,jack_in,0
24.711994,26.017311,19.65787,jack_in,0
12.758118,18.53199,17.710909,jack_in,0
8.760445,13.616527,17.981928,jack_in,0
8.850662,16.110136,16.749626,jack_in,0
6.6227045,14.6186,17.930994,jack_in,0
16.34192,25.046469,16.375328,jack_in,0
27.824484,25.899656,17.087439,jack_in,0
143.11562,132.52693,111.52289,jack_out,1
140.96684,141.1664,117.33551,jack_out,1
145.89267,142.45815,118.418564,jack_out,1
146.90178,138.61873,110.96664,jack_out,1
147.39151,150.26414,120.43496,jack_out,1
155.97282,154.78218,113.3293,jack_out,1
158.78452,155.49248,107.29218,jack_out,1
155.09439,150.90936,105.53019,jack_out,1
147.99437,145.88211,115.28244,jack_out,1
143.55392,137.37506,111.8988,jack_out,1
32.426777,21.00107,19.853231,jack_in,1
29.754492,18.966806,20.175549,jack_in,1
27.62594,22.382853,23.051903,jack_in,1
144.42511,110.76569,97.21267,jack_out,1
133.68552,127.24136,111.74491,jack_out,1
137.81892,130.54213,112.491165,jack_out,1
134.19208,136.52802,105.80813,jack_out,1
147.51692,155.66019,122.98318,jack_out,1
144.2732,146.4096,116.76776,jack_out,1
151.9752,146.57117,121.16352,jack_out,1
155.7703,158.94923,121.058105,jack_out,1
147.53465,153.98235,109.794014,jack_out,1
147.85594,149.8419,110.45879,jack_out,1
143.43813,148.93991,108.29677,jack_out,1
140.32874,140.39067,113.05706,jack_out,1
135.7274,125.91221,73.15369,jack_out,1
42.942688,26.074095,19.021412,jack_in,1
31.637407,24.801138,18.394531,jack_in,1
141.5234,124.10154,105.94729,jack_out,1
147.07812,139.3892,103.8561,jack_out,1
150.69005,153.1101,116.36079,jack_out,1
153.06178,140.99933,107.53792,jack_out,1
160.27228,143.98451,106.06154,jack_out,1
163.91724,148.03256,113.02572,jack_out,1
157.40178,153.10272,116.22921,jack_out,1
157.10182,152.53775,102.50449,jack_out,1
157.05836,154.74634,102.505585,jack_out,1
151.61465,156.06186,109.99573,jack_out,1
